plant,DATE_TIME,actual_kwh,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,hour_of_day,day_of_year,irradiance_ratio
plant_1,2020-05-15 00:00:00,0.0,25.012696950000002,22.643083233333332,0.0,0,136,0.0
plant_1,2020-05-15 01:00:00,0.0,24.66732843928571,22.41195959404762,0.0,1,136,0.0
plant_1,2020-05-15 02:00:00,0.0,24.98683673333333,23.51207183333333,0.0,2,136,0.0
plant_1,2020-05-15 03:00:00,0.0,24.954589040476186,24.126433492857146,0.0,3,136,0.0
plant_1,2020-05-15 04:00:00,0.0,24.27666985,22.133105999999998,0.0,4,136,0.0
plant_1,2020-05-15 05:00:00,0.0,24.274983049999996,23.02011823452381,0.000215680310333325,5,136,0.000215680310333325
plant_1,2020-05-15 06:00:00,1238.727678577,24.07395065,22.9739853,0.04324318552999995,6,136,0.04324318552999995
plant_1,2020-05-15 07:00:00,4262.353630924999,24.889582025,28.806721364285714,0.14756142282857138,7,136,0.14756142282857138
plant_1,2020-05-15 08:00:00,9110.83610115,26.160301766666667,36.58531696666666,0.31628041066666657,8,136,0.31628041066666657
plant_1,2020-05-15 09:00:00,12302.17366075,27.644041851190476,42.92346050833333,0.4396227654285715,9,136,0.4396227654285715
plant_1,2020-05-15 10:00:00,14292.24223215,28.90181376666667,48.36988061666666,0.5150172215,10,136,0.5150172215
plant_1,2020-05-15 11:00:00,16557.2865473,30.18125093809524,48.84254719285714,0.5618510868928571,11,136,0.5618510868928571
plant_1,2020-05-15 12:00:00,18885.107737825,31.837944483333334,50.50314281666666,0.6783298891666667,12,136,0.6783298891666667
plant_1,2020-05-15 13:00:00,15327.566071500001,32.58073820119048,47.702169028571426,0.5102064738571428,13,136,0.5102064738571428
plant_1,2020-05-15 14:00:00,19202.96598215,33.917765453571434,51.74296217738095,0.6594180685952381,14,136,0.6594180685952381
plant_1,2020-05-15 15:00:00,13380.3696428,34.19202876666667,45.24501753333333,0.43940194566666657,15,136,0.43940194566666657
plant_1,2020-05-15 16:00:00,9580.4733631,34.18140343333333,41.259987966666664,0.3230948608333333,16,136,0.3230948608333333
plant_1,2020-05-15 17:00:00,3357.5050595375,33.02189040952381,34.64146269404762,0.11656907559047618,17,136,0.11656907559047618
plant_1,2020-05-15 18:00:00,210.13214285875,29.18877659404762,28.038944299999997,0.00838397645314285,18,136,0.00838397645314285
plant_1,2020-05-15 19:00:00,0.0,26.3398656,24.710708200000003,5.6400666e-05,19,136,5.6400666e-05
plant_1,2020-05-15 20:00:00,0.0,22.60343674404762,20.428886111904763,0.0,20,136,0.0
plant_1,2020-05-15 21:00:00,0.0,22.186489316666666,20.739117483333334,0.0,21,136,0.0
plant_1,2020-05-15 22:00:00,0.0,22.13324119047619,20.882504382142855,0.0,22,136,0.0
plant_1,2020-05-15 23:00:00,0.0,22.23601830769231,21.241316538461536,0.0,23,136,0.0
plant_1,2020-05-16 02:00:00,0.0,21.594316733333333,19.80222738333333,0.0,2,137,0.0
plant_1,2020-05-16 03:00:00,0.0,21.707953366666665,20.25878603333333,0.0,3,137,0.0
plant_1,2020-05-16 04:00:00,0.0,21.92854975595238,20.762247840476192,0.0,4,137,0.0
plant_1,2020-05-16 05:00:00,0.0,21.9089015,20.61456405,3.679236605e-05,5,137,3.679236605e-05
plant_1,2020-05-16 06:00:00,1187.89999997275,21.977285575,21.018062401190473,0.039656076961309475,6,137,0.039656076961309475
plant_1,2020-05-16 07:00:00,5082.67142855,22.867214584523808,25.23972486785714,0.16622843759523806,7,137,0.16622843759523806
plant_1,2020-05-16 08:00:00,11535.70089285,24.810612966666664,34.82467651666667,0.3835834596666667,8,137,0.3835834596666667
plant_1,2020-05-16 09:00:00,13702.236607175,26.480266933333333,39.938825566666665,0.4604658103333333,9,137,0.4604658103333333
plant_1,2020-05-16 10:00:00,17335.01562495,28.15197038809524,47.41450148333333,0.552785017345238,10,137,0.552785017345238
plant_1,2020-05-16 11:00:00,17061.490624949998,29.51412865,47.71051726666666,0.5584641586666665,11,137,0.5584641586666665
plant_1,2020-05-16 12:00:00,20465.747767475,30.643568545238097,50.86235429761904,0.6954473704761904,12,137,0.6954473704761904
plant_1,2020-05-16 13:00:00,18734.008036,31.490084383333333,50.48822185,0.6139163518333333,13,137,0.6139163518333333
plant_1,2020-05-16 14:00:00,15922.526785675,32.0017147202381,47.24071738690476,0.5202818691071428,14,137,0.5202818691071428
plant_1,2020-05-16 15:00:00,11875.821428625,32.34811151666666,43.648819533333324,0.3836832741666666,15,137,0.3836832741666666
